,Profile factor,Symmetry,Crossflow,Swirl Angle,Flow Velocity1,Flow Velocity2,Flow Velocity3,Flow Velocity4,Average flow velocity,Speed of Sound1,Speed of Sound2,Speed of Sound3,Speed of Sound4,Average speed of sound,Signal Strength1,Signal Strength2,Signal Strength3,Signal Strength4,Signal Strength5,Signal Strength6,Signal Strength7,Signal Strength8,Turbulence1,Turbulence2,Turbulence3,Turbulence4,Meter performance,Signal Quality1,Signal Quality2,Signal Quality3,Signal Quality4,Signal Quality5,Signal Quality6,Signal Quality7,Signal Quality8,Gain1,Gain2,Gain3,Gain4,Gain5,Gain6,Gain7,Gain8,Transit time1,Transit time2,Transit time3,Transit time4,Transit time5,Transit time6,Transit time7,Transit time8,Class Attruibute
0,1.185088889,1.028127778,1.016477778,0.15,2.195744444,2.540944444,2.511961111,2.087888889,2.394438889,1483.869833,1486.382167,1485.372056,1484.989,1485.153222,5260.655556,5067.588889,4977.822222,4984.077778,5170.311111,5200.205556,4111.527778,4291.85,9.038944444,4.426833333,4.504555556,9.241222222,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,52.5,52.5,52.9,52.9,50.7,50.7,49.8,49.8,84.10706722,84.00309778,120.3387833,120.1442444,120.3717722,120.1790778,84.01905333,83.91997111,1
1,1.191805556,1.03375,1.019411111,0.217,2.192466667,2.546594444,2.516744444,2.075705556,2.396088889,1483.747389,1486.259222,1485.250333,1484.867056,1485.030722,5256.227778,5065.4,4978.022222,4981.433333,5172.344444,5200.816667,4107.144444,4286.327778,9.030166667,4.284,4.5975,9.166444444,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,52.5,52.5,52.9,52.9,50.7,50.7,49.8,49.8,84.11411611,84.00997278,120.3490889,120.1538889,120.3817,120.1888,84.02560722,83.92726,1
2,1.181983333,1.028088889,1.020994444,0.0889,3.246672222,3.738377778,3.715216667,3.079355556,3.523516667,1483.777056,1486.288222,1485.281,1484.898889,1485.061111,5278.55,5002.9,4971.044444,4958.055556,5146.377778,5179.372222,4039.272222,4302.883333,9.780722222,4.612,4.544777778,10.23116667,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,52.5,52.5,52.9,52.9,50.7,50.7,49.8,49.8,84.13748722,83.98333556,120.39245,120.1062056,120.4254222,120.1405778,84.04780944,83.90159333,1
3,1.182761111,1.028783333,1.021072222,0.117,3.244488889,3.741861111,3.718838889,3.0804,3.525933333,1483.847444,1486.357167,1485.350444,1484.970167,1485.131278,5276.144444,4994.794444,4973.305556,4956.305556,5149.922222,5175.688889,4036.355556,4297.377778,9.749388889,4.835333333,4.749277778,10.94505556,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,52.5,52.5,52.9,52.9,50.7,50.7,49.8,49.8,84.13349333,83.97940722,120.3870333,120.1004444,120.4198833,120.1349333,84.043715,83.89759722,1
4,1.182272222,1.028922222,1.02135,0.0222,3.245944444,3.742216667,3.715455556,3.08095,3.525127778,1483.819056,1486.328444,1485.3205,1484.944333,1485.103278,5272.716667,4993.561111,4969.877778,4952.244444,5147.422222,5174.011111,4035.338889,4297.572222,9.602333333,4.479888889,4.716833333,9.984055556,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,52.5,52.5,52.9,52.9,50.7,50.7,49.8,49.8,84.13535444,83.98080722,120.3893611,120.1028,120.42205,120.1374722,84.04534556,83.89895944,1
5,1.177961111,1.030905556,1.01945,0.0167,3.255338889,3.745594444,3.707655556,3.090322222,3.526094444,1483.780056,1486.289667,1485.282333,1484.903667,1485.063889,5270.022222,4994.744444,4968.261111,4951.883333,5144.1,5173.155556,4036.144444,4298.977778,10.12527778,4.779,4.788555556,10.83233333,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,52.5,52.5,52.9,52.9,50.7,50.7,49.8,49.8,84.13760167,83.98293944,120.3926778,120.1058056,120.4250333,120.1407889,84.04772389,83.90110833,1
6,1.187083333,1.029538889,1.020755556,0.217,3.233327778,3.742872222,3.719661111,3.071466667,3.523838889,1483.739111,1486.2485,1485.241,1484.865111,1485.023444,5266.194444,4994.694444,4968.844444,4955.655556,5142.305556,5174.222222,4034.083333,4300.105556,9.707055556,4.817722222,4.548944444,10.38844444,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,52.5,52.5,52.9,52.9,50.7,50.7,49.8,49.8,84.13922111,83.98597778,120.3960111,120.1091389,120.4289167,120.1435389,84.04931,83.90386389,1
7,1.183138889,1.03025,1.021972222,0.206,3.247594444,3.740238889,3.7175,3.077711111,3.524916667,1483.742333,1486.251111,1485.242444,1484.868722,1485.025778,5264.844444,4991.438889,4969.755556,4958.038889,5142.494444,5174.138889,4033.638889,4299.861111,9.995722222,4.650611111,4.766277778,10.33722222,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,52.5,52.5,52.9,52.9,50.7,50.7,49.8,49.8,84.13934944,83.98543722,120.3956611,120.1090944,120.4287778,120.1435056,84.04932333,83.90348833,1
8,1.181677778,1.031594444,1.021438889,0.189,3.98085,4.5847,4.545288889,3.764344444,4.318294444,1483.783,1486.290889,1485.281667,1484.908667,1485.066,5281.083333,4941.727778,4978.766667,4952.872222,5141.755556,5180.905556,3996.294444,4313.627778,10.39122222,4.858611111,4.774333333,11.02205556,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,52.5,52.5,52.9,52.9,50.7,50.7,49.8,49.8,84.15473167,83.96568278,120.4249111,120.0737944,120.4573056,120.1089778,84.06359111,83.88487,1
9,1.176644444,1.025333333,1.021261111,0.0389,4.923694444,5.653316667,5.632161111,4.681088889,5.341794444,1483.820611,1486.325611,1485.316556,1484.943278,1485.101222,5320.066667,4891.733333,4996.033333,4950.244444,5142.522222,5178.088889,3957.661111,4330.855556,11.02077778,5.132555556,4.966166667,12.15111111,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,52.5,52.5,52.9,52.9,50.7,50.7,49.8,49.8,84.17515667,83.94133056,120.4634444,120.0304333,120.4965556,120.0647333,84.08345778,83.86132833,1
