,Profile factor,Symmetry,Crossflow,Swirl Angle,Flow Velocity1,Speed of Sound1,Speed of Sound2,Speed of Sound3,Speed of Sound4,Average speed of sound,Signal Strength7,Turbulence1,Turbulence2,Turbulence3,Turbulence4,Signal Quality3,Signal Quality7,Class Attruibute
0,1.185088889,1.028127778,1.016477778,0.15,2.195744444,1483.869833,1486.382167,1485.372056,1484.989,1485.153222,4111.527778,9.038944444,4.426833333,4.504555556,9.241222222,100.0,100.0,1
1,1.191805556,1.03375,1.019411111,0.217,2.192466667,1483.747389,1486.259222,1485.250333,1484.867056,1485.030722,4107.144444,9.030166667,4.284,4.5975,9.166444444,100.0,100.0,1
2,1.181983333,1.028088889,1.020994444,0.0889,3.246672222,1483.777056,1486.288222,1485.281,1484.898889,1485.061111,4039.272222,9.780722222,4.612,4.544777778,10.23116667,100.0,100.0,1
3,1.182761111,1.028783333,1.021072222,0.117,3.244488889,1483.847444,1486.357167,1485.350444,1484.970167,1485.131278,4036.355556,9.749388889,4.835333333,4.749277778,10.94505556,100.0,100.0,1
4,1.182272222,1.028922222,1.02135,0.0222,3.245944444,1483.819056,1486.328444,1485.3205,1484.944333,1485.103278,4035.338889,9.602333333,4.479888889,4.716833333,9.984055556,100.0,100.0,1
5,1.177961111,1.030905556,1.01945,0.0167,3.255338889,1483.780056,1486.289667,1485.282333,1484.903667,1485.063889,4036.144444,10.12527778,4.779,4.788555556,10.83233333,100.0,100.0,1
6,1.187083333,1.029538889,1.020755556,0.217,3.233327778,1483.739111,1486.2485,1485.241,1484.865111,1485.023444,4034.083333,9.707055556,4.817722222,4.548944444,10.38844444,100.0,100.0,1
7,1.183138889,1.03025,1.021972222,0.206,3.247594444,1483.742333,1486.251111,1485.242444,1484.868722,1485.025778,4033.638889,9.995722222,4.650611111,4.766277778,10.33722222,100.0,100.0,1
8,1.181677778,1.031594444,1.021438889,0.189,3.98085,1483.783,1486.290889,1485.281667,1484.908667,1485.066,3996.294444,10.39122222,4.858611111,4.774333333,11.02205556,100.0,100.0,1
9,1.176644444,1.025333333,1.021261111,0.0389,4.923694444,1483.820611,1486.325611,1485.316556,1484.943278,1485.101222,3957.661111,11.02077778,5.132555556,4.966166667,12.15111111,100.0,100.0,1
10,1.175166667,1.030955556,1.023588889,0.0389,5.432227778,1484.044222,1486.5505,1485.538444,1485.169167,1485.325556,3931.966667,11.67572222,5.134,5.221833333,12.61011111,100.0,100.0,1
11,1.178216667,1.026366667,1.022672222,0.15,5.926511111,1483.970444,1486.473778,1485.461389,1485.094111,1485.249389,3917.411111,11.43672222,4.863666667,4.824833333,11.67811111,100.0,100.0,1
12,1.174122222,1.031733333,1.022855556,0.0722,5.950216667,1483.916,1486.419444,1485.408444,1485.041444,1485.196111,3921.316667,11.72894444,5.124944444,4.917888889,12.55105556,100.0,100.0,1
13,1.176083333,1.025911111,1.022261111,0.1,5.936211111,1484.101833,1486.610556,1485.600889,1485.229722,1485.385611,3915.788889,11.88994444,5.133,5.085222222,12.43666667,100.0,100.0,1
