,Profile factor,Symmetry,Crossflow,Swirl Angle,Average flow velocity,Average speed of sound,Average Signal Strength,Meter performance,Average Gain,Average Transit Time,Class Attruibute
0,1.185088889,1.028127778,1.016477778,0.15,2.394438889,1485.153222,4883.00486125,100.0,51.475,102.1353833925,1
1,1.191805556,1.03375,1.019411111,0.217,2.396088889,1485.030722,4880.964583249999,100.0,51.475,102.14380423875,1
2,1.181983333,1.028088889,1.020994444,0.0889,3.523516667,1485.061111,4859.806944374999,100.0,51.475,102.14186014375,1
3,1.182761111,1.028783333,1.021072222,0.117,3.525933333,1485.131278,4857.486805625001,100.0,51.475,102.13706338375,1
4,1.182272222,1.028922222,1.02135,0.0222,3.525127778,1485.103278,4855.3430555,100.0,51.475,102.139018745,1
5,1.177961111,1.030905556,1.01945,0.0167,3.526094444,1485.063889,4854.661110999999,100.0,51.475,102.14170986624998,1
6,1.187083333,1.029538889,1.020755556,0.217,3.523838889,1485.023444,4854.513194375,100.0,51.475,102.1444972975,1
7,1.183138889,1.03025,1.021972222,0.206,3.524916667,1485.025778,4854.276388875,100.0,51.475,102.1443296525,1
8,1.181677778,1.031594444,1.021438889,0.189,4.318294444,1485.066,4848.37916675,100.0,51.475,102.14173305750002,1
9,1.176644444,1.025333333,1.021261111,0.0389,5.341794444,1485.101222,4845.900694375,100.0,51.475,102.1395549925,1
10,1.175166667,1.030955556,1.023588889,0.0389,5.873866667,1485.325556,4840.1875,100.0,51.475,102.12428820625,1
11,1.178216667,1.026366667,1.022672222,0.15,6.446511111,1485.249389,4840.238194500001,100.0,51.475,102.1296628475,1
12,1.174122222,1.031733333,1.022855556,0.0722,6.446133333,1485.196111,4839.501388874999,100.0,51.475,102.13335040625,1
13,1.176083333,1.025911111,1.022261111,0.1,6.445472222,1485.385611,4839.2631945,100.0,51.475,102.12029228875,1
14,1.175838889,1.029305556,1.023955556,0.088888889,6.445605556,1485.563389,4838.477777624999,100.0,51.475,102.1080653525,1
15,1.174027778,1.029555556,1.022827778,0.083333333,6.446583333,1485.422444,4840.12083325,100.0,51.475,102.11780553875002,1
16,1.173205556,1.029394444,1.023177778,0.044444444,6.447083333,1485.334056,4840.57847225,100.0,51.475,102.12384534125,1
17,1.174877778,1.029327778,1.022738889,0.061111111,7.007811111,1485.344444,4835.4937498750005,100.0,51.475,102.1233063925,1
18,1.172383333,1.033272222,1.024777778,0.022222222,7.529366667,1485.541389,4825.092361125001,100.0,51.475,102.10998597375,1
19,1.420238889,0.961011111,0.957405556,1.29,2.664838889,1484.662056,3593.5881943750005,93.36666667,52.274305555000005,101.4486796525,2
20,1.2468,0.960172222,0.958061111,0.76,2.685888889,1483.505389,3390.073611125,90.27777778,53.30861111,101.28003722875002,2
21,0.866283333,0.577227778,0.586494444,-0.37,2.757061111,1487.319333,3041.5203343,83.70555556,57.9708333325,91.1506438775,2
22,1.456162011,0.861194444,0.852755556,0.17,5.524155556,1479.4475,1894.9472222500003,71.06666667,55.13777777749999,99.13931430125,2
