,Profile factor,Symmetry,Crossflow,Swirl Angle,Average flow velocity,Average speed of sound,Average Signal Strength,Meter performance,Average Turbulence,Average Signal Quality,Average Gain,Average Transit Time,Class Attruibute
0,1.185088889,1.028127778,1.016477778,0.15,2.394438889,1485.153222,4883.0048612499995,100.0,6.802888888749999,100.0,51.475,102.13538339249999,1
1,1.191805556,1.03375,1.019411111,0.217,2.396088889,1485.030722,4880.964583249999,100.0,6.76952777775,100.0,51.475,102.14380423875001,1
2,1.181983333,1.028088889,1.020994444,0.0889,3.523516667,1485.061111,4859.806944374999,100.0,7.2921666675,100.0,51.475,102.14186014375,1
3,1.182761111,1.028783333,1.021072222,0.117,3.525933333,1485.131278,4857.486805625001,100.0,7.56976389,100.0,51.475,102.13706338375,1
4,1.182272222,1.028922222,1.02135,0.0222,3.525127778,1485.103278,4855.3430555,100.0,7.195777777750001,100.0,51.475,102.139018745,1
5,1.177961111,1.030905556,1.01945,0.0167,3.526094444,1485.063889,4854.661110999999,100.0,7.6312916665,100.0,51.475,102.14170986624998,1
6,1.187083333,1.029538889,1.020755556,0.217,3.523838889,1485.023444,4854.513194375,100.0,7.3655416655,100.0,51.475,102.1444972975,1
7,1.183138889,1.03025,1.021972222,0.206,3.524916667,1485.025778,4854.276388875,100.0,7.4374583327499995,100.0,51.475,102.14432965249999,1
8,1.181677778,1.031594444,1.021438889,0.189,4.318294444,1485.066,4848.37916675,100.0,7.761555555999999,100.0,51.475,102.14173305750002,1
9,1.176644444,1.025333333,1.021261111,0.0389,5.341794444,1485.101222,4845.900694375,100.0,8.31765277825,100.0,51.475,102.1395549925,1
10,1.175166667,1.030955556,1.023588889,0.0389,5.873866667,1485.325556,4840.1875,100.0,8.66041666575,100.0,51.475,102.12428820625,1
11,1.178216667,1.026366667,1.022672222,0.15,6.446511111,1485.249389,4840.238194500001,100.0,8.2008333325,100.0,51.475,102.12966284749999,1
12,1.174122222,1.031733333,1.022855556,0.0722,6.446133333,1485.196111,4839.501388874999,100.0,8.58070833325,100.0,51.475,102.13335040624999,1
13,1.176083333,1.025911111,1.022261111,0.1,6.445472222,1485.385611,4839.2631945,100.0,8.636208332999999,100.0,51.475,102.12029228875001,1
14,1.175838889,1.029305556,1.023955556,0.088888889,6.445605556,1485.563389,4838.477777624999,100.0,8.58918055675,100.0,51.475,102.10806535249999,1
15,1.174027778,1.029555556,1.022827778,0.083333333,6.446583333,1485.422444,4840.12083325,100.0,8.5547638885,100.0,51.475,102.11780553875002,1
16,1.173205556,1.029394444,1.023177778,0.044444444,6.447083333,1485.334056,4840.57847225,100.0,8.519583332249999,100.0,51.475,102.12384534125,1
17,1.174877778,1.029327778,1.022738889,0.061111111,7.007811111,1485.344444,4835.4937498750005,100.0,8.50983333225,100.0,51.475,102.12330639250001,1
18,1.172383333,1.033272222,1.024777778,0.022222222,7.529366667,1485.541389,4825.092361125001,100.0,8.908055556999999,100.0,51.475,102.10998597375,1
19,1.420238889,0.961011111,0.957405556,1.29,2.664838889,1484.662056,3593.5881943750005,93.36666667,16.552069444,93.29583333375001,52.274305555000005,101.4486796525,2
20,1.2468,0.960172222,0.958061111,0.76,2.685888889,1483.505389,3390.073611125,90.27777778,20.617041665,90.23333333375001,53.30861111,101.28003722875002,2
21,0.866283333,0.577227778,0.586494444,-0.37,2.757061111,1487.319333,3041.5203343,83.70555556,17.24645833325,83.6104166675,57.9708333325,91.15064387749999,2
22,1.456162011,0.861194444,0.852755556,0.17,5.524155556,1479.4475,1894.9472222500003,71.06666667,26.504125002499997,71.00069444374999,55.13777777749999,99.13931430125,2
23,1.23715,0.904427778,0.903516667,-0.06,5.643294444,1488.771056,2926.320139125,87.32777778,17.86365277925,87.22569444375,52.29625,98.80810123124999,2
24,1.172066667,1.025833333,1.022111111,0.01,5.638733333,1490.4725,3817.7736109999996,97.53888889,11.51015277825,97.49305555375,52.034305554999996,101.77054839500002,2
25,0.642938202,0.839572222,0.795061111,0.64,5.6052,1478.702056,1657.42774325,68.26111111,32.06561111,68.175,57.3075,97.83095868999999,2
26,1.190827778,1.020316667,1.009038889,0.23,8.083911111,1478.497389,2326.257638875,93.60555556,18.53738888825,93.53055555625001,53.986527777499994,102.57130771000001,2
27,1.184405556,1.023572222,1.01395,0.14,1.315461111,1490.304833,4520.004861125,99.97222222,10.477722220999999,99.9652777775,52.5897222225,101.78368410874998,2
28,1.181927778,1.032433333,1.017605556,0.04,1.315033333,1490.132611,4540.740972125001,99.83888889,10.540986111499999,99.8347222225,52.608611110000005,101.79555144999999,2
29,1.193094444,1.010088889,1.008488889,0.31,1.313922222,1487.213833,4599.921527875,100.0,9.48495833225,100.0,52.4058333325,101.9950286775,2
30,1.198183333,1.009983333,1.009344444,0.37,1.304022222,1486.740611,4611.856944374999,99.98888889,11.00863889,99.9902777775,52.313194445,102.02735923374999,2
31,1.211366667,1.016494444,1.014527778,0.54,1.288855556,1486.017111,4448.015972375,96.86111111,15.140138888749998,96.80763888875,53.3025,102.07358688875001,2
32,1.312211111,0.972661111,0.9499,0.48,1.256283333,1482.513722,4299.513888875,90.76666667,18.644125001,90.69861111125,53.964583332500005,100.99758799125001,2
33,1.136838889,0.940277778,0.914677778,1.54,1.333388889,1482.642056,4371.988888875,87.49444444,20.369694444000004,87.38472222249999,54.907361110000004,100.29691250875,2
34,1.625277778,0.544638889,0.5326,-1.41,1.386261111,1484.599278,4192.6856325,81.22222222,14.489138887999998,81.14374999875,59.84388889,90.62502944,2
35,1.279861111,1.097538889,1.090877778,1.85,7.441677778,1501.985333,4231.56899575,95.60555556,9.4241388905,95.56805555625,59.493750000000006,101.22244653999999,3
36,1.287733333,1.11275,1.104638889,1.828,6.88875,1501.948667,4271.694367874999,96.07777778,10.484,96.04513889,59.575,101.22472179125,3
37,1.291644444,1.1046,1.096916667,1.906,6.355544444,1501.769778,4273.2912639999995,96.40555556,9.947999998250001,96.3625,59.56041666749999,101.23665188125,3
38,1.282005556,1.099077778,1.089055556,1.789,6.368977778,1501.698944,4263.934967249999,96.52222222,9.447819444,96.4715277775,59.616805555,101.24134749750002,3
39,1.280033333,1.102955556,1.094005556,1.733,6.363422222,1501.882611,4256.824662,96.65555556,9.71286111,96.624305555,59.58013889,101.22828027749999,3
40,1.279061111,1.096305556,1.087266667,1.689,6.371088889,1501.776833,4278.829993125,96.92777778,9.689055554749999,96.87569444375,59.549305555000004,101.2353535425,3
