Flatness ratio,Symmetry,Crossflow,Flow Velocity1,Flow Velocity2,Flow Velocity3,Flow Velocity4,Flow Velocity5,Flow Velocity6,Flow Velocity7,Flow Velocity8,Speed of Sound1,Speed of Sound2,Speed of Sound3,Speed of Sound4,Speed of Sound5,Speed of Sound6,Speed of Sound7,Speed of Sound8,Average speed of sound,Gain1,Gain2,Gain3,Gain4,Gain5,Gain6,Gain7,Gain8,Class Attruibute,Profile factor,Swirl Angle,Average flow velocity,Signal Strength1,Signal Strength2,Signal Strength3,Signal Strength4,Signal Strength5,Signal Strength6,Signal Strength7,Signal Strength8,Turbulence1,Turbulence2,Turbulence3,Turbulence4,Meter performance,Signal Quality1,Signal Quality2,Signal Quality3,Signal Quality4,Signal Quality5,Signal Quality6,Signal Quality7,Signal Quality8,Transit time1,Transit time2,Transit time3,Transit time4,Transit time5,Transit time6,Transit time7,Transit time8
10.24776333,10.05882167,8.631366167,1485.5285,1485.454,1485.4375,1485.354167,1485.468167,1485.450667,1484.928167,1485.508667,1485.391229,34.57031333,33.50586,36.702475,37.13053667,35.323895,35.59407833,34.375,32.45117333,34.568685,33.08268333,36.722005,36.96940333,36.07584667,36.05143167,35.174155,32.72949,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.106345167,8.9451425,7.674045833,1486.042333,1485.992833,1485.973333,1485.867833,1485.990333,1485.992167,1485.466667,1486.033667,1485.919896,34.31803333,33.42936,36.68294167,37.08007667,35.29459833,35.51106833,34.10319,32.428385,34.44173167,33.081055,36.687825,36.933595,36.05468833,35.97981833,34.847005,32.73112167,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.964596167,7.814698167,6.66093,1486.023667,1485.980833,1485.96,1485.8505,1485.963667,1485.9795,1485.454667,1486.012333,1485.903146,34.18782667,33.41959833,36.67155167,37.00520667,35.275065,35.472005,33.91764333,32.428385,34.275715,33.113605,36.661785,36.87337,36.002605,35.96354167,34.68912833,32.77181,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.8010515,6.686639167,5.645545333,1484.898,1484.872,1484.852333,1484.739,1484.849333,1484.872,1484.3445,1484.900333,1484.790938,34.04134167,33.40332,36.68294167,36.93685,35.27669333,35.44433667,33.76302167,32.48535,34.08040333,33.17057333,36.67317667,36.811525,35.974935,35.95540333,34.50032833,32.849935,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.813453333,6.672376833,5.660943667,1484.361333,1484.331833,1484.313833,1484.205,1484.3075,1484.331833,1483.807667,1484.364,1484.252875,34.04459667,33.38216167,36.69108,36.94987167,35.275065,35.44108167,33.75488167,32.503255,34.12272,33.16406167,36.67317667,36.82617333,35.996095,35.968425,34.47428333,32.85319,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.813999,6.693988333,5.660036667,1484.3405,1484.3155,1484.296,1484.186,1484.291333,1484.317333,1483.795167,1484.35,1484.236479,34.00878833,33.42284833,36.68457167,36.94173167,35.27832,35.44433833,33.74837167,32.49511667,34.10319167,33.168945,36.66666833,36.8278,35.99772167,35.95865833,34.48893167,32.849935,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.8113005,6.672610333,5.6860535,1484.6455,1484.617833,1484.599667,1484.485333,1484.590833,1484.617667,1484.094,1484.648167,1484.537375,34.06087167,33.41145833,36.67480667,36.94173,35.27832,35.450845,33.72395833,32.50162667,34.10319,33.18522167,36.668295,36.82942833,35.99935167,35.94726667,34.480795,32.86132667,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.795749833,6.670477833,5.654347167,1484.815667,1484.791667,1484.774,1484.662167,1484.763333,1484.790167,1484.266,1484.821167,1484.710521,34.02832,33.40169167,36.68945167,36.93684833,35.26692667,35.44108167,33.72721333,32.48860833,34.09830833,33.16732,36.67643167,36.82292,36.015625,35.93098833,34.45800667,32.86784,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.817909,6.695647667,5.704541833,1484.785167,1484.757333,1484.740167,1484.627,1484.730833,1484.755833,1484.234833,1484.789,1484.677521,34.06738167,33.38867333,36.69108,36.94824333,35.26367167,35.4541,33.71582,32.50488333,34.11132833,33.16243333,36.66341333,36.82617167,35.99283833,35.97005333,34.48730667,32.8597,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.7224035,5.642601833,4.724210667,1484.5115,1484.492833,1484.474333,1484.355333,1484.455333,1484.493333,1483.969333,1484.515167,1484.408396,33.93229167,33.406575,36.69108167,36.89778667,35.26367,35.40690333,33.58235667,32.53418167,33.97949333,33.20475333,36.66992167,36.785485,35.97005333,35.94401167,34.283855,32.91015833,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.595447667,4.491134667,3.784393333,1484.286167,1484.276667,1484.2575,1484.132167,1484.2355,1484.277,1483.753833,1484.295333,1484.189271,33.80696833,33.41959667,36.68945333,36.84244667,35.25390667,35.36621167,33.41145667,32.57487,33.90462333,33.26823,36.66504,36.743165,35.93913,35.91471333,34.11295833,32.98339833,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.462609,3.376626667,2.8375715,1484.377833,1484.373667,1484.355833,1484.222333,1484.323,1484.373,1483.8495,1484.3855,1484.282583,33.71256667,33.40820167,36.70247167,36.78873833,35.25228,35.33203167,33.271485,32.62532333,33.79557167,33.338215,36.65201833,36.71712,35.919595,35.90169167,33.9209,33.081055,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.437505333,3.395417167,2.8198085,1484.376667,1484.373333,1484.354833,1484.222667,1484.324,1484.374333,1483.849667,1484.384667,1484.282521,33.70117167,33.42447833,36.71223833,36.78222667,35.249025,35.33528833,33.28776,32.62044333,33.80371,33.32194167,36.66992333,36.713865,35.91471167,35.89681,33.93392,33.068035,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.450384333,3.381903167,2.837714333,1484.3165,1484.312333,1484.294833,1484.164167,1484.263333,1484.312667,1483.789333,1484.325833,1484.222375,33.70768333,33.42447833,36.70898333,36.79525,35.25716167,35.323895,33.27799333,32.631835,33.793945,33.32682333,36.65852833,36.71712167,35.91308667,35.89681,33.924155,33.081055,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.461493833,3.370600667,2.840930833,1484.219,1484.2155,1484.197167,1484.066667,1484.167333,1484.215,1483.691667,1484.229333,1484.125208,33.71582,33.42448,36.71386833,36.790365,35.25228,35.33040667,33.26660167,32.62858,33.80371,33.32194,36.65853,36.71223833,35.91959333,35.90494833,33.91275833,33.087565,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.436843833,3.394622,2.820523667,1484.109667,1484.1055,1484.087833,1483.958,1484.056333,1484.105667,1483.5815,1484.119,1484.015438,33.71745,33.426105,36.70247167,36.79362,35.24414333,35.33366,33.277995,32.63834333,33.80371167,33.32844833,36.66504,36.70572667,35.91471167,35.89843667,33.90624833,33.0778,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.305439,2.251346833,1.856487333,1483.926667,1483.926833,1483.909333,1483.775667,1483.8745,1483.926833,1483.403333,1483.938833,1483.83525,33.631185,33.43424333,36.7334,36.74804833,35.25553333,35.28483,33.15429833,32.68554667,33.71582,33.39843833,36.66504,36.67806167,35.8903,35.887045,33.75,33.16731667,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.16596333,10.04545333,8.591674333,1487.669167,1487.574667,1487.5355,1487.441167,1487.6075,1487.576333,1487.038,1487.611,1487.506667,34.51172167,33.48307333,36.69270667,37.12402333,35.29297,35.54687667,34.26595,32.38769667,34.53613333,33.05664167,36.71223833,36.987305,36.07421833,36.00586,35.00813833,32.70996167,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.081059,8.935758667,7.615712667,1487.756667,1487.6655,1487.628,1487.520833,1487.692833,1487.662167,1487.121833,1487.685,1487.591604,34.33593833,33.40983167,36.687825,37.06217667,35.2653,35.51432333,34.01367333,32.41211167,34.40755167,33.087565,36.66341333,36.90755167,36.00097833,35.974935,34.78190167,32.72949167,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.954846333,7.829090333,6.657527833,1487.056833,1486.981833,1486.942333,1486.8255,1487.001,1486.983333,1486.445,1486.996667,1486.904063,34.15202,33.40332,36.68457,37.03938667,35.23111833,35.43619667,33.87207,32.402345,34.23991,33.115235,36.67643333,36.87988333,35.97981833,35.942385,34.55403667,32.80436167,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.7956015,6.688387833,5.6721965,1486.562167,1486.495833,1486.457167,1486.337833,1486.506,1486.495667,1485.959333,1486.506,1486.415,34.02832167,33.40169333,36.68457,36.93522,35.22623833,35.42643333,33.65885333,32.46582167,34.10481833,33.16569167,36.65853,36.81478,35.93261833,35.94238333,34.35709667,32.84505167,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.8166515,6.679052,5.660756333,1486.147,1486.0855,1486.045167,1485.927333,1486.0925,1486.082833,1485.5475,1486.100167,1486.0035,34.025065,33.37890667,36.68294333,36.95963667,35.23600333,35.41341167,33.66536667,32.456055,34.11132833,33.16731833,36.66992167,36.82617167,35.94726333,35.926105,34.39616,32.83854333,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.808764,6.701923833,5.649572,1485.848333,1485.782667,1485.744333,1485.627333,1485.791667,1485.782833,1485.248167,1485.798833,1485.703021,34.04459667,33.39681167,36.68294333,36.954755,35.25390667,35.42155,33.706055,32.44954667,34.134115,33.16406333,36.68945333,36.83431,35.96354167,35.940755,34.35384167,32.84016833,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.811768,6.6749865,5.695705333,1485.527333,1485.464667,1485.43,1485.312167,1485.471167,1485.462,1484.9275,1485.476833,1485.383958,34.059245,33.40331833,36.69108,36.96614667,35.26692833,35.444335,33.67675833,32.47233167,34.11946667,33.167315,36.687825,36.83268333,35.96679833,35.92936167,34.38802167,32.85482,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.803487333,6.680015833,5.673037667,1485.177833,1485.116333,1485.077667,1484.963,1485.122833,1485.115,1484.581833,1485.1345,1485.036125,34.065755,33.40494833,36.7041,36.96614667,35.24576667,35.43945333,33.68815167,32.46744833,34.13248833,33.17870833,36.68131333,36.82780167,35.93261833,35.95865833,34.40267333,32.84830667,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.80916,6.671243167,5.695187167,1484.770167,1484.7085,1484.674,1484.5575,1484.7145,1484.7075,1484.175667,1484.7285,1484.629542,34.05599,33.434245,36.70572833,36.96452,35.25553333,35.43619833,33.66373833,32.488605,34.14225167,33.16243667,36.69108,36.83593833,35.97981833,35.948895,34.38313667,32.86295667,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.655257833,5.580228833,4.708127833,1484.026667,1483.974167,1483.939333,1483.816667,1483.974833,1483.974833,1483.440833,1483.991167,1483.892313,33.93880333,33.41796833,36.70898333,36.92057333,35.26041833,35.39876333,33.50748667,32.52441667,34.01041667,33.22428333,36.692705,36.80338833,35.95052167,35.94563833,34.20898333,32.94108,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.54857,4.4547805,3.765493833,1484.107167,1484.064833,1484.029167,1483.9,1484.055,1484.064667,1483.532333,1484.0735,1483.978333,33.81673167,33.434245,36.71061167,36.86523333,35.25716167,35.36784,33.36425833,32.57487167,33.89648333,33.291015,36.67968833,36.77083167,35.94401,35.90657333,34.02343833,33.00293167,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.446335333,3.366594167,2.7900445,1484.3545,1484.318333,1484.283833,1484.1475,1484.3015,1484.319333,1483.785,1484.320167,1484.228771,33.725585,33.43261667,36.73828333,36.80338833,35.25228,35.33528833,33.23893167,32.61230333,33.81998667,33.34309667,36.67968667,36.7334,35.90332,35.90332167,33.87044333,33.07129,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.441496167,3.370033667,2.8174855,1484.538667,1484.502833,1484.468833,1484.331667,1484.4865,1484.5035,1483.9705,1484.505,1484.413438,33.72395833,33.44401167,36.72526,36.80826833,35.242515,35.34017,33.24218833,32.59765833,33.80696667,33.33821833,36.681315,36.7334,35.91796667,35.90332,33.86881333,33.06966333,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.438313167,3.370153,2.804818,1484.618667,1484.581167,1484.548,1484.410833,1484.564167,1484.582167,1484.048833,1484.583167,1484.492125,33.70931,33.44400833,36.73177167,36.79524833,35.25391,35.33366,33.25195333,32.605795,33.815105,33.34635333,36.67643333,36.7334,35.91959333,35.8903,33.87695333,33.06803333,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.442169833,3.369193833,2.813119667,1484.628,1484.592667,1484.559667,1484.422333,1484.576333,1484.593833,1484.0615,1484.5945,1484.503604,33.70768333,33.45052167,36.73177,36.80013333,35.25553333,35.328775,33.24544333,32.60579333,33.82161667,33.33821667,36.67806167,36.72851667,35.900065,35.91796833,33.88020833,33.06640833,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.4444325,3.358662667,2.832968333,1484.609,1484.5735,1484.540167,1484.4035,1484.555333,1484.574333,1484.042,1484.575667,1484.484188,33.72396,33.43912667,36.73502667,36.798505,35.25879,35.33528667,33.23404833,32.62695333,33.81347833,33.35123667,36.674805,36.72851667,35.926105,35.89681,33.87369667,33.08268333,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.453402,3.362637167,2.803272833,1484.537167,1484.501667,1484.468,1484.332,1484.484167,1484.503,1483.97,1484.505333,1484.412667,33.73698,33.43750167,36.73502667,36.81478,35.25228,35.33203167,33.24869833,32.618815,33.81022167,33.34961,36.67643167,36.74804833,35.91796833,35.913085,33.88346333,33.06640833,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.291071667,2.238488333,1.8373725,1484.1895,1484.160167,1484.126667,1483.9875,1484.138667,1484.160333,1483.628333,1484.1615,1484.069083,33.66048333,33.47168167,36.75781333,36.77083333,35.27831833,35.30924333,33.13639333,32.69043,33.77278833,33.426105,36.68619833,36.715495,35.90169167,35.90494667,33.73209667,33.18521833,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.29937667,10.08418333,8.2982725,1486.113,1486.037833,1486.010167,1485.9195,1486.063667,1486.035,1485.5015,1486.074,1485.969333,34.53776167,33.372395,36.70247333,37.12890667,35.315755,35.54524833,34.37011667,32.34212333,34.59635667,33.03060167,36.70573,36.974285,36.06933667,36.02050833,35.15462333,32.64160333,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.1042445,8.9553395,7.352346,1485.749667,1485.6815,1485.652667,1485.5595,1485.6985,1485.680667,1485.1485,1485.712,1485.610375,34.33105333,33.35449333,36.681315,37.06542833,35.27018333,35.491535,34.15527333,32.36328333,34.40755,33.053385,36.69270833,36.905925,36.00423,35.98307333,34.89420667,32.66927,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0007305,7.897353333,6.501029167,1485.298333,1485.248167,1485.221333,1485.1205,1485.253,1485.250333,1484.714667,1485.272667,1485.172375,34.21386833,33.35449333,36.67968667,36.99707,35.23925833,35.46874833,33.9209,32.39420667,34.249675,33.07291833,36.67317833,36.86035333,35.9847,35.968425,34.6875,32.77343667,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.829347333,6.6980755,5.470741833,1484.722,1484.679667,1484.6545,1484.542333,1484.6745,1484.681167,1484.149833,1484.697333,1484.600167,34.01692833,33.35774833,36.68619667,36.93196833,35.22949333,35.41178667,33.719075,32.43164,34.10481833,33.09733,36.66504,36.811525,35.97819,35.90495,34.46614667,32.82552167,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.8121305,6.674295667,5.4873555,1485.017167,1484.978167,1484.954667,1484.840833,1484.970833,1484.979167,1484.444833,1484.991833,1484.897188,34.039715,33.34309833,36.68619833,36.927085,35.24577,35.41341167,33.72233,32.40397167,34.09668,33.13314,36.66341167,36.82779833,35.94889333,35.91634,34.44824333,32.81412667,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
